date,humidité,temperature,periode_encoded,Mois,humidité-air,semaine_mois
2024-01-01,75.0,23,0,1,mauvais,1.0
2024-01-01,78.0,24,1,1,très mauvais,1.0
2024-01-01,75.0,22,2,1,mauvais,1.0
2024-01-02,70.0,24,0,1,mauvais,1.0
2024-01-02,66.0,26,1,1,très mauvais,1.0
2024-01-02,69.0,23,2,1,très mauvais,1.0
2024-01-03,87.0,24,0,1,mauvais,1.0
2024-01-03,75.0,21,1,1,mauvais,1.0
2024-01-03,76.0,25,2,1,très mauvais,1.0
2024-01-04,75.0,26,0,1,mauvais,1.0
2024-01-04,73.0,26,1,1,moyen,1.0
2024-01-04,82.0,26,2,1,très mauvais,1.0
2024-01-05,68.0,23,0,1,bon,1.0
2024-01-05,79.0,23,1,1,mauvais,1.0
2024-01-05,77.0,23,2,1,très mauvais,1.0
2024-01-06,76.0,22,0,1,très mauvais,1.0
2024-01-06,74.0,24,1,1,très mauvais,1.0
2024-01-06,70.0,27,2,1,très mauvais,1.0
2024-01-07,76.0,22,0,1,mauvais,1.0
2024-01-07,74.0,23,1,1,mauvais,1.0
2024-01-07,78.0,25,2,1,très mauvais,1.0
2024-01-08,73.0,24,0,1,mauvais,2.0
2024-01-08,77.0,23,1,1,moyen,2.0
2024-01-08,82.0,21,2,1,très mauvais,2.0
2024-01-09,72.0,26,0,1,très mauvais,2.0
2024-01-09,73.0,25,1,1,très mauvais,2.0
2024-01-09,71.0,25,2,1,mauvais,2.0
2024-01-10,72.0,22,0,1,mauvais,2.0
2024-01-10,69.0,27,1,1,très mauvais,2.0
2024-01-10,73.0,26,2,1,moyen,2.0
2024-01-11,79.0,24,0,1,très mauvais,2.0
2024-01-11,81.0,21,1,1,mauvais,2.0
2024-01-11,75.0,22,2,1,très mauvais,2.0
2024-01-12,70.0,23,0,1,mauvais,2.0
2024-01-12,72.0,26,1,1,mauvais,2.0
2024-01-12,80.0,24,2,1,très mauvais,2.0
2024-01-13,75.0,23,0,1,mauvais,2.0
2024-01-13,74.0,27,1,1,très mauvais,2.0
2024-01-13,82.0,24,2,1,très mauvais,2.0
2024-01-14,67.0,26,0,1,moyen,2.0
2024-01-14,79.0,26,1,1,très mauvais,2.0
2024-01-14,75.0,23,2,1,très mauvais,2.0
2024-01-15,71.0,24,0,1,moyen,3.0
2024-01-15,74.0,29,1,1,très mauvais,3.0
2024-01-15,78.0,29,2,1,mauvais,3.0
2024-01-16,71.0,28,0,1,très mauvais,3.0
2024-01-16,77.0,23,1,1,très mauvais,3.0
2024-01-16,76.0,24,2,1,très mauvais,3.0
2024-01-17,70.0,21,0,1,très mauvais,3.0
2024-01-17,77.0,19,1,1,très mauvais,3.0
2024-01-17,74.0,24,2,1,très mauvais,3.0
2024-01-18,70.0,24,0,1,mauvais,3.0
2024-01-18,82.0,22,1,1,très mauvais,3.0
2024-01-18,85.0,25,2,1,bon,3.0
2024-01-19,87.0,22,0,1,très mauvais,3.0
2024-01-19,90.0,27,1,1,moyen,3.0
2024-01-19,63.0,25,2,1,mauvais,3.0
2024-01-20,72.0,23,0,1,bon,3.0
2024-01-20,78.0,28,1,1,mauvais,3.0
2024-01-20,82.0,23,2,1,mauvais,3.0
2024-01-21,92.0,22,0,1,mauvais,3.0
2024-01-21,65.0,28,1,1,mauvais,3.0
2024-01-21,60.0,23,2,1,mauvais,3.0
2024-01-22,74.0,26,0,1,mauvais,4.0
2024-01-22,61.0,29,1,1,mauvais,4.0
2024-01-22,76.0,25,2,1,bon,4.0
2024-01-23,91.0,22,0,1,moyen,4.0
2024-01-23,55.0,28,1,1,mauvais,4.0
2024-01-23,72.0,26,2,1,mauvais,4.0
2024-01-24,94.0,22,0,1,mauvais,4.0
2024-01-24,80.0,24,1,1,moyen,4.0
2024-01-24,83.0,23,2,1,mauvais,4.0
2024-01-25,78.0,25,0,1,très mauvais,4.0
2024-01-25,62.0,29,1,1,moyen,4.0
2024-01-25,80.0,23,2,1,mauvais,4.0
2024-01-26,69.0,22,0,1,mauvais,4.0
2024-01-26,89.0,28,1,1,moyen,4.0
2024-01-26,71.0,27,2,1,très mauvais,4.0
2024-01-27,65.0,22,0,1,très mauvais,4.0
2024-01-27,70.0,25,1,1,très mauvais,4.0
2024-01-27,96.0,24,2,1,mauvais,4.0
2024-01-28,97.0,23,0,1,très mauvais,4.0
2024-01-28,60.0,26,1,1,très mauvais,4.0
2024-01-28,69.0,22,2,1,très mauvais,4.0
2024-01-29,74.0,27,0,1,moyen,5.0
2024-01-29,64.0,29,1,1,mauvais,5.0
2024-01-29,72.0,26,2,1,moyen,5.0
2024-01-30,80.0,23,0,1,moyen,5.0
2024-01-30,65.0,29,1,1,très mauvais,5.0
2024-01-30,75.0,24,2,1,mauvais,5.0
2024-01-31,81.0,24,0,1,mauvais,5.0
2024-01-31,78.0,29,1,1,très mauvais,5.0
2024-01-31,71.0,26,2,1,mauvais,5.0
2024-02-01,84.0,24,0,2,mauvais,1.0
2024-02-01,79.0,31,1,2,mauvais,1.0
2024-02-01,81.0,27,2,2,mauvais,1.0
2024-02-02,81.0,26,0,2,mauvais,1.0
2024-02-02,76.0,30,1,2,mauvais,1.0
2024-02-02,78.0,26,2,2,moyen,1.0
2024-02-03,87.0,24,0,2,très mauvais,1.0
2024-02-03,77.0,30,1,2,mauvais,1.0
2024-02-03,82.0,26,2,2,mauvais,1.0
2024-02-04,82.0,27,0,2,mauvais,1.0
2024-02-04,74.0,31,1,2,bon,1.0
2024-02-04,76.0,27,2,2,moyen,1.0
2024-02-05,85.0,26,0,2,mauvais,1.0
2024-02-05,76.0,31,1,2,mauvais,1.0
2024-02-05,79.0,28,2,2,mauvais,1.0
2024-02-06,85.0,25,0,2,mauvais,1.0
2024-02-06,81.0,29,1,2,mauvais,1.0
2024-02-06,86.0,26,2,2,très mauvais,1.0
